no,question,a,b,c,d,answer
125,"A hacker has successfully infected an internet-facing server which he will then use to sendjunk mail, take part in coordinated attacks, or host junk email content.Which sort of trojan infects this server?",Botnet Trojan,Turtle Trojans,Banking Trojans,Ransomware Trojans,A
126,You have initiated an active operating system fingerprinting attempt with nmap against atarget system: What operating system is the target host running based on the open ports shown above?,Windows XP,Windows 98 SE,Windows NT4 Server,Windows 2000 Server,D
127,In which phase of the ethical hacking process can Google hacking be employed? This is atechnique that involves manipulating a search string with specific operators to search forvulnerabilities.Example:allintitle: root passwd,Maintaining Access,Gaining Access,Reconnaissance,Scanning and Enumeration,C
128,A company's security policy states that all Web browsers must automatically delete theirHTTP browser cookies upon terminating. What sort of security breach is this policy attempting tomitigate?,Attempts by attackers to access Web sites that trust the Web browser user by stealing the user'sauthentication credentials.,Attempts by attackers to access the user and password information stored in the company's SQLdatabase.,Attempts by attackers to access passwords stored on the user's computer without the user'sknowledge.,"Attempts by attackers to determine the user's Web browser usage patterns, including when siteswere visited and for how long.",A
129,Which of the following are well known password-cracking programs?,L0phtcrack,NetCat,Jack the Ripper,NetbusE. John the Ripper,A
130,One of your team members has asked you to analyze the following SOA record. What is theversion?Rutgers.edu.SOA NS1.Rutgers.edu ipad.college.edu (200302028 3600 3600 604800 2400.) (Choosefour.),200303028,3600,604800,2400E. 60F. 4800,A
131,"LM hash is a compromised password hashing function. Which of the following parametersdescribe LM Hash:?I - The maximum password length is 14 characters.II - There are no distinctions between uppercase and lowercase.III - It's a simple algorithm, so 10,000,000 hashes can be generated per second.",I,"I, II, and III",II,I and II,B
132,Which Nmap option would you use if you were not concerned about being detected andwanted to perform a very fast scan?,-T0,-T5,-O,-A,B
133,Which of the following program infects the system boot sector and the executable files atthe same time?,Stealth virus,Polymorphic virus,Macro virus,Multipartite Virus,D
134,"If you are to determine the attack surface of an organization, which of the following is theBEST thing to do?",Running a network scan to detect network services in the corporate DMZ,Reviewing the need for a security clearance for each employee,Using configuration management to determine when and where to apply security patches,Training employees on the security policy regarding social engineering,A
135,Which is the first step followed by Vulnerability Scanners for scanning a network?,TCP/UDP Port scanning,Firewall detection,OS Detection,Checking if the remote host is alive,D
136,"While testing the company's web applications, a tester attempts to insert the following testscript into the search area on the company's web site:< script>alert("" Testing Testing Testing "")</script>Afterwards, when the tester presses the search button, a pop-up box appears on the screen with thetext:""Testing Testing Testing"". Which vulnerability has been detected in the web application?",Buffer overflow,Cross-site request forgery,Distributed denial of service,Cross-site scripting,D
137,Which system consists of a publicly available set of databases that contain domain nameregistration contact information?,WHOIS,IANA,CAPTCHA,IETF,A
138,"A pen tester is configuring a Windows laptop for a test. In setting up Wireshark, what riverand library are required to allow the NIC to work in promiscuous mode?",Libpcap,Awinpcap,Winprom,Winpcap,D
139,You perform a scan of your company's network and discover that TCP port 123 is open.What services by default run on TCP port 123?,Telnet,POP3,Network Time Protocol,DNS,C
140,What does the option * indicate?,s,t,n,a,C
141,Which of the following is a command line packet analyzer similar to GUI-based Wireshark?,tcpdump,nessus,etherea,Jack the ripper,A
142,"Bob, a network administrator at BigUniversity, realized that some students are connectingtheir notebooks in the wired network to have Internet access. In the university campus, there aremany Ethernet ports available for professors and authorized visitors but not for students.He identified this when the IDS alerted for malware activities in the network.What should Bob do to avoid this problem?",Disable unused ports in the switches,Separate students in a different VLAN,Use the 802.1x protocol,Ask students to use the wireless network,C
143,"While performing ping scans into a target network you get a frantic call from theorganization's security team.They report that they are under a denial of service attack. When you stop your scan, the smurf attackevent stops showing up on the organization's IDS monitor.How can you modify your scan to prevent triggering this event in the IDS?",Scan more slowly.,Do not scan the broadcast IP.,Spoof the source IP address.,Only scan the Windows systems.,B
